Image,angry,disgust,fear,happy,sad,surprise,neutral
Image 1,0.0,0.0,0.0,83.33,0.0,0.0,16.67
Image 2,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Image 3,5.56,0.0,33.33,0.0,0.0,55.56,5.56
Image 4,0.0,0.0,0.0,77.78,0.0,5.56,16.67
Image 5,0.0,0.0,0.0,94.44,0.0,0.0,5.56
Image 6,83.33,0.0,5.56,11.11,0.0,0.0,0.0
Image 7,5.56,0.0,0.0,83.33,0.0,0.0,11.11
Image 8,27.78,0.0,0.0,22.22,11.11,0.0,38.89
Image 9,5.56,0.0,0.0,50.0,0.0,0.0,44.44
Image 10,11.11,0.0,16.67,5.56,22.22,44.44,0.0
Image 11,0.0,0.0,11.76,0.0,47.06,35.29,5.88
Image 12,11.11,0.0,0.0,22.22,33.33,0.0,33.33
Image 13,16.67,0.0,0.0,11.11,11.11,0.0,61.11
Image 14,16.67,0.0,0.0,77.78,0.0,0.0,5.56
Image 15,5.56,0.0,0.0,94.44,0.0,0.0,0.0
Image 16,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Image 17,0.0,0.0,0.0,100.0,0.0,0.0,0.0
